MM:DD:YYYY hh:mm:ss, Elapsed Time, Device, BatteryVoltage, PIRCount, PIRDuration, PIRCountChange, PIRDurationChange,
1/22/2025 10:38:18,0:1:0,3,3.81,7,21.70,7,21.70,
1/22/2025 10:39:19,0:2:1,3,3.82,19,57.45,12,35.75,
1/22/2025 10:40:19,0:3:1,3,3.81,29,88.44,10,30.99,
1/22/2025 10:41:19,0:4:1,3,3.82,40,121.61,11,33.17,
1/22/2025 10:42:19,0:5:1,3,3.82,51,155.77,11,34.16,
1/22/2025 10:43:19,0:6:1,3,3.82,61,186.86,10,31.10,
1/22/2025 10:44:19,0:7:1,3,3.82,72,221.04,11,34.18,
1/22/2025 10:45:19,0:8:1,3,3.82,81,249.07,9,28.03,
1/22/2025 10:46:19,0:9:1,3,3.81,90,277.11,9,28.04,
1/22/2025 10:47:19,0:10:1,3,3.82,100,308.24,10,31.13,
1/22/2025 10:48:19,0:11:1,3,3.82,110,339.49,10,31.26,
1/22/2025 10:49:19,0:12:1,3,3.82,119,367.69,9,28.19,
1/22/2025 10:50:19,0:13:1,3,3.81,130,402.14,11,34.45,
1/22/2025 10:51:19,0:14:1,3,3.82,138,427.32,8,25.18,
1/22/2025 10:52:19,0:15:1,3,3.82,148,458.57,10,31.25,
1/22/2025 10:53:19,0:16:1,3,3.81,159,491.53,11,32.96,
1/22/2025 10:54:20,0:17:2,3,3.82,170,525.91,11,34.38,
1/22/2025 10:55:20,0:18:2,3,3.81,177,547.86,7,21.95,
1/22/2025 10:56:20,0:19:2,3,3.81,184,569.68,7,21.82,
1/22/2025 10:57:20,0:20:2,3,3.82,194,599.62,10,29.94,
1/22/2025 10:58:20,0:21:2,3,3.82,198,612.09,4,12.47,
1/22/2025 10:59:20,0:22:2,3,3.82,202,624.58,4,12.48,
1/22/2025 11:00:20,0:23:2,3,3.82,210,649.82,8,25.24,
1/22/2025 11:01:20,0:24:2,3,3.81,218,674.81,8,24.99,
1/22/2025 11:02:21,0:25:3,3,3.81,228,706.07,10,31.26,
1/22/2025 11:03:21,0:26:3,3,3.80,234,724.79,6,18.72,
1/22/2025 11:04:21,0:27:3,3,3.81,237,734.16,3,9.37,
1/22/2025 11:05:21,0:28:3,3,3.82,242,749.76,5,15.60,
1/22/2025 11:06:21,0:29:3,3,3.81,252,780.99,10,31.23,
1/22/2025 11:07:22,0:30:4,3,3.82,262,810.93,10,29.94,
1/22/2025 11:08:22,0:31:4,3,3.81,271,838.99,9,28.06,
1/22/2025 11:09:21,0:32:4,3,3.82,282,873.50,11,34.51,
1/22/2025 11:10:21,0:33:4,3,3.82,291,901.57,9,28.07,
1/22/2025 11:11:22,0:34:4,3,3.82,299,925.18,8,23.61,
1/22/2025 11:12:21,0:35:4,3,3.81,308,953.34,9,28.15,
1/22/2025 11:13:21,0:36:4,3,3.82,319,986.30,11,32.96,
1/22/2025 11:14:22,0:37:4,3,3.82,328,1013.07,9,26.77,
1/22/2025 11:15:22,0:38:4,3,3.82,337,1041.15,9,28.08,
1/22/2025 11:16:22,0:39:4,3,3.81,347,1072.49,10,31.34,
1/22/2025 11:17:22,0:40:4,3,3.82,353,1091.21,6,18.72,
1/22/2025 11:18:22,0:41:4,3,3.82,354,1094.34,1,3.12,
1/22/2025 11:19:21,0:42:4,3,3.81,354,1094.34,0,0.00,
1/22/2025 11:20:22,0:43:4,3,3.82,365,1128.66,11,34.33,
1/22/2025 11:21:22,0:44:4,3,3.82,374,1156.79,9,28.13,
1/22/2025 11:22:22,0:45:4,3,3.80,376,1163.03,2,6.24,
1/22/2025 11:23:22,0:46:4,3,3.82,376,1163.03,0,0.00,
1/22/2025 11:24:21,0:47:4,3,3.81,376,1163.03,0,0.00,
1/22/2025 11:25:21,0:48:4,3,3.82,380,1175.64,4,12.61,
1/22/2025 11:26:22,0:49:4,3,3.81,383,1183.66,3,8.02,
1/22/2025 11:27:21,0:50:4,3,3.82,393,1215.12,10,31.45,
1/22/2025 11:28:21,0:51:4,3,3.80,396,1224.48,3,9.36,
1/22/2025 11:29:21,0:52:4,3,3.81,402,1243.21,6,18.73,
1/22/2025 11:30:23,0:53:5,3,3.81,403,1246.34,1,3.12,
1/22/2025 11:31:22,0:54:5,3,3.82,407,1258.82,4,12.49,
1/22/2025 11:32:22,0:55:5,3,3.81,413,1277.55,6,18.72,
1/22/2025 11:33:22,0:56:5,3,3.82,413,1277.55,0,0.00,
1/22/2025 11:34:23,0:57:5,3,3.82,413,1277.55,0,0.00,
1/22/2025 11:35:22,0:58:5,3,3.81,413,1277.55,0,0.00,
1/22/2025 11:36:22,0:59:5,3,3.82,413,1277.55,0,0.00,
1/22/2025 11:37:23,1:0:5,3,3.82,413,1277.55,0,0.00,
1/22/2025 11:38:23,1:1:5,3,3.82,413,1277.55,0,0.00,
1/22/2025 11:39:22,1:2:5,3,3.80,413,1277.55,0,0.00,
1/22/2025 11:40:23,1:3:5,3,3.82,413,1277.55,0,0.00,
1/22/2025 11:41:23,1:4:5,3,3.81,413,1277.55,0,0.00,
1/22/2025 11:42:23,1:5:5,3,3.82,416,1287.01,3,9.46,
1/22/2025 11:43:23,1:6:5,3,3.81,416,1287.01,0,0.00,
1/22/2025 11:44:22,1:7:5,3,3.80,416,1287.01,0,0.00,
1/22/2025 11:45:23,1:8:5,3,3.80,416,1287.01,0,0.00,
1/22/2025 11:46:23,1:9:5,3,3.82,416,1287.01,0,0.00,
1/22/2025 11:47:22,1:10:5,3,3.81,416,1287.01,0,0.00,
1/22/2025 11:48:23,1:11:5,3,3.81,417,1290.13,1,3.12,
1/22/2025 11:49:23,1:12:5,3,3.80,417,1290.13,0,0.00,
1/22/2025 11:50:23,1:13:5,3,3.80,418,1293.25,1,3.12,
1/22/2025 11:51:22,1:14:5,3,3.82,418,1293.25,0,0.00,
1/22/2025 11:52:22,1:15:5,3,3.80,421,1302.62,3,9.37,
1/22/2025 11:53:22,1:16:5,3,3.81,422,1305.74,1,3.12,
1/22/2025 11:54:23,1:17:5,3,3.80,422,1305.74,0,0.00,
1/22/2025 11:55:22,1:18:5,3,3.81,422,1305.74,0,0.00,
1/22/2025 11:56:22,1:19:5,3,3.82,422,1305.74,0,0.00,
1/22/2025 11:57:23,1:20:5,3,3.81,422,1305.74,0,0.00,
1/22/2025 11:58:22,1:21:5,3,3.82,425,1315.11,3,9.37,
1/22/2025 11:59:22,1:22:5,3,3.81,430,1330.72,5,15.61,
1/22/2025 12:00:22,1:23:5,3,3.82,430,1330.72,0,0.00,
1/22/2025 12:01:23,1:24:5,3,3.81,431,1333.85,1,3.12,
1/22/2025 12:02:23,1:25:6,3,3.81,441,1365.11,10,31.26,
1/22/2025 12:03:24,1:26:7,3,3.80,452,1399.50,11,34.39,
1/22/2025 12:04:24,1:27:7,3,3.81,458,1418.34,6,18.84,
1/22/2025 12:05:25,1:28:7,3,3.82,468,1449.55,10,31.21,
1/22/2025 12:06:24,1:29:7,3,3.80,479,1483.87,11,34.33,
1/22/2025 12:07:24,1:30:7,3,3.82,487,1508.84,8,24.97,
1/22/2025 12:08:24,1:31:7,3,3.81,498,1543.28,11,34.44,
1/22/2025 12:09:25,1:32:7,3,3.81,508,1574.49,10,31.20,
1/22/2025 12:10:24,1:33:7,3,3.81,516,1599.50,8,25.02,
1/22/2025 12:11:24,1:34:7,3,3.82,518,1605.74,2,6.24,
1/22/2025 12:12:25,1:35:7,3,3.82,525,1627.60,7,21.85,
1/22/2025 12:13:25,1:36:8,3,3.81,532,1649.44,7,21.85,
1/22/2025 12:14:25,1:37:8,3,3.80,543,1683.76,11,34.32,
1/22/2025 12:15:25,1:38:8,3,3.81,553,1714.96,10,31.20,
1/22/2025 12:16:25,1:39:8,3,3.81,563,1746.16,10,31.20,
1/22/2025 12:17:26,1:40:8,3,3.82,572,1774.24,9,28.08,
1/22/2025 12:18:25,1:41:8,3,3.80,579,1796.09,7,21.85,
1/22/2025 12:19:26,1:42:8,3,3.80,585,1814.81,6,18.72,
1/22/2025 12:20:25,1:43:8,3,3.80,593,1839.85,8,25.04,
1/22/2025 12:21:25,1:44:8,3,3.80,595,1846.09,2,6.24,
1/22/2025 12:22:25,1:45:8,3,3.82,599,1858.57,4,12.48,
1/22/2025 12:23:25,1:46:8,3,3.80,600,1861.69,1,3.12,
1/22/2025 12:24:26,1:47:8,3,3.81,600,1861.69,0,0.00,
1/22/2025 12:25:26,1:48:9,3,3.81,602,1867.94,2,6.24,
1/22/2025 12:26:26,1:49:9,3,3.82,608,1886.66,6,18.73,
1/22/2025 12:27:26,1:50:9,3,3.82,611,1896.02,3,9.36,
1/22/2025 12:28:26,1:51:9,3,3.81,613,1902.27,2,6.24,
1/22/2025 12:29:26,1:52:9,3,3.81,613,1902.27,0,0.00,
1/22/2025 12:30:26,1:53:9,3,3.81,613,1902.27,0,0.00,
1/22/2025 12:31:26,1:54:9,3,3.82,613,1902.27,0,0.00,
1/22/2025 12:32:26,1:55:9,3,3.81,613,1902.27,0,0.00,
1/22/2025 12:33:26,1:56:9,3,3.81,613,1902.27,0,0.00,
1/22/2025 12:34:26,1:57:9,3,3.82,613,1902.27,0,0.00,
1/22/2025 12:35:26,1:58:9,3,3.81,621,1927.33,8,25.06,
1/22/2025 12:36:26,1:59:9,3,3.81,631,1958.55,10,31.22,
1/22/2025 12:37:26,2:0:9,3,3.80,642,1991.78,11,33.23,
1/22/2025 12:38:26,2:1:9,3,3.81,652,2023.01,10,31.23,
1/22/2025 12:39:26,2:2:9,3,3.81,658,2041.73,6,18.72,
1/22/2025 12:40:26,2:3:9,3,3.80,664,2059.77,6,18.04,
